DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-01-31T23:09:38.300+00:00,47.691,-120.060,7.1,1.5,Md,,137,,,uw,uw60503756,1359674256257
2013-01-31T23:08:04.300+00:00,39.129,-121.874,1.2,1.5,Md,,180,,,nc,nc71932521,1359688177585
2013-01-31T22:59:43.900+00:00,39.122,-121.894,0.9,1.6,Md,,266,,,nc,nc71932511,1359689049275
2013-01-31T22:52:18.600+00:00,39.201,-121.836,0.8,1.2,Md,,140,,,nc,nc71932501,1359691148308
2013-01-31T22:47:34.000+00:00,36.433,-120.818,11.8,1.7,Md,,112,,,nc,nc71932496,1359682210832
2013-01-31T22:43:37.000+00:00,62.074,-145.384,19.0,1.8,Ml,,173,,,ak,ak10648140,1359672658783
2013-01-31T22:22:51.000+00:00,19.625,-65.516,52.0,3.2,Md,,292,,,pr,pr13031001,1359685659527
2013-01-31T22:13:34.000+00:00,63.089,-151.474,7.2,1.4,Ml,,133,,,ak,ak10648118,1359670598541
2013-01-31T21:46:42.200+00:00,39.173,-121.848,0.9,1.6,Md,,266,,,nc,nc71932456,1359688448080
2013-01-31T21:43:57.500+00:00,33.366,-116.821,5.8,1.2,Ml,,148,,,ci,ci15279657,1359672086417
2013-01-31T21:25:23.800+00:00,39.161,-121.856,0.8,1.7,Md,,274,,,nc,nc71932441,1359687846910
2013-01-31T21:22:23.000+00:00,61.555,-146.341,25.8,1.5,Ml,,115,,,ak,ak10648081,1359667486974
2013-01-31T21:20:33.930+00:00,31.872,-94.397,5.5,2.7,mb_Lg,,160,,,us,usc000ezjq,1359759933467
2013-01-31T21:18:31.000+00:00,63.094,-150.667,106.2,1.4,Ml,,169,,,ak,ak10648065,1359667289746
2013-01-31T21:15:13.900+00:00,45.720,-121.396,,1.1,Md,,187,,,uw,uw60503681,1359747463108
